company,job_name,link_url,apply_url,job_id,salaryRange,equityRange,minExperience,minSchoolYear,visa,jobType,location,is_remote,hiring_description,job_description,salary_min,salary_max
Amplitude,"Staff Product Engineer, AI Agents",https://www.ycombinator.com/companies/amplitude/jobs/byPftTK-staff-product-engineer-ai-agents,https://www.workatastartup.com/jobs/80397,80397,,,,,,,,False,"Amplitude is a leading digital analytics platform. More than 1,900 customers, including Atlassian, Jersey Mike&#x27;s, NBCUniversal, Shopify, and Under Armour rely on Amplitude to gain self-service visibility into the entire customer journey.  When teams understand how people are using their product, they can deliver better product experiences. With Amplitude, teams can understand what product features are working, where users are getting stuck, and what actions lead to the right outcomes. Nothing is more critical to driving revenue growth. Amplitude is the best-in-class analytics solution for product, data, and marketing teams, ranked #1 in multiple categories in G2’s 2022 Winter Report. Learn how to optimize your digital products and business at amplitude.com.",,,
Amplitude,"Senior Product Engineer, AI Agents",https://www.ycombinator.com/companies/amplitude/jobs/w0WSIC8-senior-product-engineer-ai-agents,https://www.workatastartup.com/jobs/80396,80396,,,,,,,,False,"Amplitude is a leading digital analytics platform. More than 1,900 customers, including Atlassian, Jersey Mike&#x27;s, NBCUniversal, Shopify, and Under Armour rely on Amplitude to gain self-service visibility into the entire customer journey.  When teams understand how people are using their product, they can deliver better product experiences. With Amplitude, teams can understand what product features are working, where users are getting stuck, and what actions lead to the right outcomes. Nothing is more critical to driving revenue growth. Amplitude is the best-in-class analytics solution for product, data, and marketing teams, ranked #1 in multiple categories in G2’s 2022 Winter Report. Learn how to optimize your digital products and business at amplitude.com.",,,
Y-combinator,Product Engineer - App ops,https://www.ycombinator.com/companies/y-combinator/jobs/td8mMYi-product-engineer-app-ops,https://www.workatastartup.com/jobs/78637,78637,,,,,,,,False,"Y Combinator has a small ~12 person team that makes the software that runs YC.  Hardly any investors write software, but YC was started by programmers so it&#x27;s natural for us to solve our problems that way. We believe our software is a key competitive advantage and we are investing aggressively in new software products.\r\n\r\nAs a member of the software team, you&#x27;ll get full access to the YC program, just like founders do.  You&#x27;ll learn the ins and outs of how YC works, and you&#x27;ll get to follow and learn from hundreds of companies.  You&#x27;ll meet some of the most successful people in the startup world and get exposed to the best startup ideas.  And of course, if you ever want to start your own company, you’ll learn a lot about that from working at YC.\r\n ",,,
Y-combinator,Product Engineer,https://www.ycombinator.com/companies/y-combinator/jobs/rq3DaTs-product-engineer,https://www.workatastartup.com/jobs/77068,77068,,,,,,,,False,"Y Combinator has a small ~12 person team that makes the software that runs YC.  Hardly any investors write software, but YC was started by programmers so it&#x27;s natural for us to solve our problems that way. We believe our software is a key competitive advantage and we are investing aggressively in new software products.\r\n\r\nAs a member of the software team, you&#x27;ll get full access to the YC program, just like founders do.  You&#x27;ll learn the ins and outs of how YC works, and you&#x27;ll get to follow and learn from hundreds of companies.  You&#x27;ll meet some of the most successful people in the startup world and get exposed to the best startup ideas.  And of course, if you ever want to start your own company, you’ll learn a lot about that from working at YC.\r\n ",,,
Apollo,Senior Customer Success Engineer,https://www.ycombinator.com/companies/apollo/jobs/PY96GgC-senior-customer-success-engineer,https://www.workatastartup.com/jobs/45838,45838,,,,,,,,False,"Apollo is a developer tools company focused on GraphQL. Our mission is to simplify app development by combining APIs, databases, and microservices into a single data graph that you can query with GraphQL. We are proud of our culture that encourages caring &amp; inclusivity, supports distributed workers, and recruits people who have a history of delivering the highest caliber results. \r\n\r\nWe are backed by Andreessen Horowitz, Matrix Partners, Y Combinator, and individual investors",,,
Apollo,Enterprise Sales Executive - West,https://www.ycombinator.com/companies/apollo/jobs/XEVeYqZ-enterprise-sales-executive-west,https://www.workatastartup.com/jobs/43436,43436,,,,,,,,False,"Apollo is a developer tools company focused on GraphQL. Our mission is to simplify app development by combining APIs, databases, and microservices into a single data graph that you can query with GraphQL. We are proud of our culture that encourages caring &amp; inclusivity, supports distributed workers, and recruits people who have a history of delivering the highest caliber results. \r\n\r\nWe are backed by Andreessen Horowitz, Matrix Partners, Y Combinator, and individual investors",,,
Hackerrank,HackerRank (YC S11) is Hiring a Senior Software Engineer Fullstack,https://www.ycombinator.com/companies/hackerrank/jobs/jk6xfKz-hackerrank-yc-s11-is-hiring-a-senior-software-engineer-fullstack,https://www.workatastartup.com/jobs/79074,79074,,,,,,,,False,"At HackerRank, our mission is to change the world to value skills over pedigree. Thousands of companies use our AI-powered platform to hire next-gen developers based on what they can do, not just what’s on their resume. We’ve powered 300M+ code runs and built a global community of 26M+ developers.\r\n\r\nWe’ve entered a new era of software development where humans and AI build together. This changes everything- from how developers grow to how companies hire and upskill tech talent. We’re embracing this shift head-on and reinventing our products to meet the moment.\r\n\r\nWe’re a high-performing, mission-driven team that truly, madly, deeply cares about what we do. We don’t see velocity and quality as tradeoffs; both matter. If you take pride in high-impact work and thrive in a driven team, HackerRank is where you belong.\r\n",,,
Hackerrank,HackerRank (YC S11) is Hiring a Senior Software Engineer,https://www.ycombinator.com/companies/hackerrank/jobs/6yom11r-hackerrank-yc-s11-is-hiring-a-senior-software-engineer,https://www.workatastartup.com/jobs/79073,79073,,,,,,,,False,"At HackerRank, our mission is to change the world to value skills over pedigree. Thousands of companies use our AI-powered platform to hire next-gen developers based on what they can do, not just what’s on their resume. We’ve powered 300M+ code runs and built a global community of 26M+ developers.\r\n\r\nWe’ve entered a new era of software development where humans and AI build together. This changes everything- from how developers grow to how companies hire and upskill tech talent. We’re embracing this shift head-on and reinventing our products to meet the moment.\r\n\r\nWe’re a high-performing, mission-driven team that truly, madly, deeply cares about what we do. We don’t see velocity and quality as tradeoffs; both matter. If you take pride in high-impact work and thrive in a driven team, HackerRank is where you belong.\r\n",,,
Hackerrank,HackerRank (YC S11) is Hiring a Senior Manager - Customer Marketing,https://www.ycombinator.com/companies/hackerrank/jobs/4vgf4AV-hackerrank-yc-s11-is-hiring-a-senior-manager-customer-marketing,https://www.workatastartup.com/jobs/79072,79072,,,,,,,,False,"At HackerRank, our mission is to change the world to value skills over pedigree. Thousands of companies use our AI-powered platform to hire next-gen developers based on what they can do, not just what’s on their resume. We’ve powered 300M+ code runs and built a global community of 26M+ developers.\r\n\r\nWe’ve entered a new era of software development where humans and AI build together. This changes everything- from how developers grow to how companies hire and upskill tech talent. We’re embracing this shift head-on and reinventing our products to meet the moment.\r\n\r\nWe’re a high-performing, mission-driven team that truly, madly, deeply cares about what we do. We don’t see velocity and quality as tradeoffs; both matter. If you take pride in high-impact work and thrive in a driven team, HackerRank is where you belong.\r\n",,,
Hackerrank,HackerRank (YC S11) is Hiring a Software Development Engineer,https://www.ycombinator.com/companies/hackerrank/jobs/qB2cV4j-hackerrank-yc-s11-is-hiring-a-software-development-engineer,https://www.workatastartup.com/jobs/78988,78988,,,,,,,,False,"At HackerRank, our mission is to change the world to value skills over pedigree. Thousands of companies use our AI-powered platform to hire next-gen developers based on what they can do, not just what’s on their resume. We’ve powered 300M+ code runs and built a global community of 26M+ developers.\r\n\r\nWe’ve entered a new era of software development where humans and AI build together. This changes everything- from how developers grow to how companies hire and upskill tech talent. We’re embracing this shift head-on and reinventing our products to meet the moment.\r\n\r\nWe’re a high-performing, mission-driven team that truly, madly, deeply cares about what we do. We don’t see velocity and quality as tradeoffs; both matter. If you take pride in high-impact work and thrive in a driven team, HackerRank is where you belong.\r\n",,,
